place,latitude,longitude
 Spa & Massages in Munnar ,,
 Sevenmallay Tea Estate ,,
 Mountain Biking in Munnar ,,
 Marayoor ,10.2757418,77.162036
 Lakkom Water Falls ,,
 Blossom Park ,,
 Chinnakanal Waterfalls ,,
 Chithirapuram ,10.02917765,77.04645317787228
 Lockhart Tea Museum ,,
 Nyayamakad Waterfalls ,,
 Pallivasal Tea Garden ,,
 Kuthumkal Waterfalls ,,
 Elephant Arrival Spot ,,
 High Range Club ,10.0722585,77.06533267690773
 Floriculture Centre ,10.08569365,77.07602018017711
 Valara Falls ,,
 CSI Christ Church ,9.969907599999999,76.30436963229286
 Elephant Lake ,27.32981105,88.84655942619618
 Anayirankal Dam ,10.0094462,77.2073808
 Punarjani Traditional Village ,,
 The Ridge ,31.1047906,77.1752833
" Mall Road, Shimla ",31.10449,77.1615431
" Christ Church, Shimla ",31.104309399999998,77.17601556420328
 Visceral Lodge ,,
 Himalayan Bird Park ,31.102903,77.1475157
 Kali Bari Temple ,31.1061127,77.1667746
 Johnnie's Wax Museum ,,
 Himachal State Museum ,31.1031447,77.1508283
 Kalka Shimla Toy Train ,,
 Annandale  ,,
 Kiala Forest ,,
 Scandal Point ,31.1052217,77.1725528
 Summer Hills ,,
 Indian Institute of Advanced Studies ,,
 Narkanda ,31.2547508,77.4612694
 Naldehra ,,
 Cafe Simla Times ,,
 Rothney Castle ,31.1046139,77.1794329
 Theog ,31.12144885,77.36497514311
 Shimla Reserve Forest Sanctuary ,,
 Lakkar Bazar ,30.9118316,75.8579454
 Jakhoo Ropeway ,,
 Gaiety Theatre Heritage Cultural Complex ,,
 Gorton Castle ,31.10492,77.1627159
 Bantony Castle ,31.1061523,77.1695597
 Horse Riding in Shimla ,,
 Solan ,30.92589585,77.08200509063624
 Mashobra ,31.1132833,77.5133514
 Shoghi ,31.0390358,77.1247482
 Ice Skating in Shimla ,,
 Wake & Bake ,,
 Cafe Hide Out ,31.1047098,77.1730959
 Wild Flower Hall Hotel ,,
 Retreat Building ,12.92092615,77.68341790884604
 Shimla Heritage Walk ,,
 Bharara Fair ,,
 Bhoj Fair ,,
 Chanshal Pass ,,
 Lavi Fair ,,
 Panchpula ,21.9134539,74.9488579
 Khajjiar ,32.5485701,76.0597217
 Satdhara Falls ,,
 Ganji Pahari Trek ,,
 Dainkund Peak ,,
 Paragliding at Khajjiar ,,
 Subhash Baoli ,,
 Sach Pass ,33.0060031,76.2399224
 River Crossing and River Rafting ,,
" Rock Garden, Dalhousie ",,
 Indo Tibetan Market ,,
 Trekking in Dalhousie ,,
 Dainkund to Jot Trek ,,
 Mall Road (Gandhi Chowk) ,,
 Cafe Dalhousie ,32.5057539,75.9711492
 St Patricks Church ,13.008126050000001,80.19535630349512
 Bakrota Hills ,,
 Rock Climbing in Dalhousie ,,
 Garam Sadak ,,
 Laxmi Narayan Temple Dalhousie ,,
 Pohlani Devi Temple ,,
 Cellular Jail ,11.67444565,92.74778558292749
 Elephant Beach ,12.0113061,92.949336
 Neil Island ,11.83137395,93.0419302433501
 Radhanagar Beach ,11.9826676,92.95707831459254
 Baratang Island ,12.188318200000001,92.81103513756125
 Night Kayaking in Andaman ,,
 Scuba Diving In Andaman ,11.8204196,93.0382537
 Mount Harriet National Park ,,
 North Bay Island ,,
 Bharatpur Beach ,11.8379008,93.02964449635024
 Water Sports in Andamans ,,
 Ross Island ,11.6754345,92.7626196470404
 Laxmanpur Beach 1 ,,
 Laxmanpur Beach 2 ,,
 Corbyn's Cove Beach ,,
 Chidiya Tapu ,11.50322185,92.70129539704993
 Mahatma Gandhi Marine National Park ,11.4953407,92.57705504125077
 Kalapathar Beach ,11.976167199999999,93.01887533281035
 Seakart in Andaman ,11.6439505,92.7470895
 Snorkeling in Andaman ,11.9790048,92.9572695
" Howrah Bridge, Andaman ",11.8320076,93.0139619
 Glass Bottom Dolphin Boat ,,
 Shopping in Andaman ,,
" Long Island, Andaman ",12.3968182,92.93429762270804
 Jolly Buoy Island ,,
 Rajiv Gandhi Water Sports Complex ,11.67210135,92.74771043329729
 Amkunj Beach ,,
 Little Andaman ,10.7056905,92.48746789633373
 Mangrove Creeks in Andaman ,,
 Guitar Island Beach ,,
 Barren Island ,12.28034655,93.86358702732056
 Anthropological Museum Port Blair ,11.66438,92.7402326
 Sitapur Beach ,11.818967449999999,93.06282703058659
 Viper Island ,11.6618855,92.69707113312637
 Narcondam Island ,13.4443379,94.2619091
 Wandoor Beach ,11.5983895,92.60967586668421
 Sea Walking in Andaman ,,
 Boat Trips Andaman ,,
 Mangrove Kayaking ,,
 Vijaynagar Beach ,,
 Trekking in Andaman ,,
 Samudrika Naval Marine Museum ,,
 Chatham Saw Mill ,,
 Cinque Island ,,
 Sandbar Beach ,,
 Rutland Island ,11.43156055,92.65179201695375
 Parrot Island ,,
 Diglipur ,13.22771435,92.93949249778723
 Saddle Peak National Park ,13.1623433,93.01693148483
 Lalaji Bay Beach ,,
 Stewart Island Beach ,,
 Limestone Caves Andaman ,,
 Minicoy Island ,8.295235,73.06483943014706
 Agatti Islands ,10.8476321,72.18884683727894
 Bangaram Island ,10.94041185,72.287158968447
 Scuba Diving in Lakshadweep ,,
 Kavaratti Islands ,10.55905,72.63656879807692
 Kalpeni Island ,10.0816222,73.64700018964697
 Water Sports in Lakshadweep Islands ,,
 Marine Museum ,,
 Kadmat Island ,11.219255,72.77511857843137
